date,BYR,USD,EUR,KZT,UAH
2003-01,0.016403300000000003,31.811,34.1205,0.20501000000000003,5.9432
2003-02,0.0160642,31.55,34.1403,0.207275,5.888389999999999
2003-03,0.0157445,31.3811,33.2765,0.205879,5.85272
2003-04,0.0154038,31.1003,34.1326,0.20440999999999998,5.77536
2003-05,0.0151021,30.8316,36.0051,0.204939,5.66237
2003-06,0.0147102,30.3546,35.1719,0.204494,5.63856
2003-07,0.014639099999999999,30.3469,34.4589,0.207247,5.6667000000000005
2003-08,0.0144812,30.31,33.05,0.206757,5.6316299999999995
2003-09,0.0144643,30.4998,35.026,0.20586,5.665
2003-10,0.0140334,29.915,35.3805,0.202001,5.55112
2003-11,0.0139218,29.7979,35.4476,0.20366599999999999,5.53576
2003-12,0.0135506,29.245,36.2813,0.202771,5.4462
2004-01,0.0132372,28.5514,36.3716,0.204188,5.29014
2004-02,0.0132251,28.4934,36.1439,0.204878,5.28282
2004-03,0.013241099999999999,28.4855,35.2309,0.20520600000000003,5.28763
2004-04,0.0134399,28.9671,34.523,0.209776,5.4033999999999995
2004-05,0.0134576,28.9863,34.7981,0.212405,5.4281500000000005
2004-06,0.013460900000000001,29.0243,35.3719,0.21267399999999997,5.439030000000001
2004-07,0.0134556,29.083,35.5627,0.214884,5.45351
2004-08,0.0135154,29.2178,35.9583,0.214094,5.471500000000001
2004-09,0.013480800000000001,29.2146,35.8317,0.21659199999999998,5.439220000000001
2004-10,0.013337400000000001,28.9989,36.6546,0.218835,5.38933
2004-11,0.0130864,28.5217,37.121,0.21948,5.33305
2004-12,0.0127863,27.8341,37.3979,0.214172,5.13326
2005-01,0.012944599999999999,28.1569,36.4744,0.21646100000000001,5.28312
2005-02,0.0128454,27.8312,36.6648,0.21394300000000002,5.2485
2005-03,0.0128262,27.6381,36.1451,0.211738,5.27817
2005-04,0.0128881,27.7304,36.1882,0.210752,5.43329
2005-05,0.0130513,28.0619,35.2233,0.21297999999999997,5.52258
2005-06,0.0133024,28.6193,34.6694,0.21070699999999998,5.6755
2005-07,0.0132919,28.5792,34.8037,0.210564,5.67397
2005-08,0.0132827,28.5494,34.9074,0.210689,5.66176
2005-09,0.0132242,28.432,34.5022,0.21221900000000002,5.577640000000001
2005-10,0.0132744,28.5666,34.4085,0.213718,5.56041
2005-11,0.0133574,28.7267,33.9952,0.214573,5.64786
2005-12,0.0133743,28.7799,34.1733,0.215588,5.66812
2006-01,0.01303,28.0512,34.3459,0.21143599999999999,5.46807
2006-02,0.0130983,28.1827,33.5741,0.21519300000000002,5.50443
2006-03,0.0129112,27.768,33.5021,0.217874,5.44065
2006-04,0.0127999,27.5198,33.8136,0.223505,5.41387
2006-05,0.0125897,26.9876,34.6764,0.219849,5.37195
2006-06,0.0126195,27.0491,34.0251,0.22612500000000002,5.36955
2006-07,0.0125611,26.9122,34.0332,0.22900099999999998,5.34163
2006-08,0.0124878,26.7614,34.2599,0.21482199999999999,5.301489999999999
2006-09,0.012452999999999999,26.6712,34.1525,0.210424,5.27255
2006-10,0.0125503,26.8804,33.8532,0.210214,5.30573
2006-11,0.012405,26.556,34.3555,0.207577,5.2475000000000005
2006-12,0.0122748,26.2941,34.7082,0.20549,5.207990000000001
2007-01,0.0123774,26.524,34.4016,0.21078399999999997,5.24252
2007-02,0.0122173,26.2474,34.392,0.211037,5.18467
2007-03,0.0121122,26.0109,34.6751,0.20999400000000001,5.13755
2007-04,0.0119906,25.7617,34.9844,0.213021,5.08873
2007-05,0.012042,25.8964,34.8358,0.215893,5.13879
2007-06,0.0120645,25.9356,34.79,0.211302,5.14075
2007-07,0.0118154,25.3853,35.1079,0.208096,5.04608
2007-08,0.011956300000000001,25.7105,34.8377,0.20481300000000002,5.1132599999999995
2007-09,0.0116469,25.054,35.3186,0.20630500000000002,4.97844
2007-10,0.0115784,24.9225,35.3999,0.2064,4.93632
2007-11,0.01125,24.2649,36.1498,0.20149899999999998,4.78711
2007-12,0.011454,24.7235,35.5796,0.20471,4.87038
2008-01,0.011431100000000001,24.6325,35.9832,0.204787,4.83578
2008-02,0.011387000000000001,24.4663,36.2248,0.203141,4.80136
2008-03,0.0110702,23.7773,36.7526,0.197363,4.69036
2008-04,0.010892200000000001,23.3448,37.2606,0.193856,4.671860000000001
2008-05,0.0110458,23.6007,37.0932,0.19572900000000001,4.83799
2008-06,0.011085000000000001,23.5908,36.7427,0.195401,4.93996
2008-07,0.011023,23.322,36.7695,0.194075,5.072760000000001
2008-08,0.0114914,24.2699,36.1257,0.20275600000000002,5.2526600000000006
2008-09,0.0118307,24.9864,36.8974,0.20869,4.97985
2008-10,0.0127652,26.9793,34.5767,0.225175,4.69205
2008-11,0.0128695,27.5665,34.5215,0.229148,4.41064
2008-12,0.012874100000000001,28.3359,39.6674,0.23444299999999998,3.57551
2009-01,0.0122459,32.8926,42.3986,0.270354,4.187469999999999
2009-02,0.0127432,36.076,45.4089,0.240989,4.26935
2009-03,0.011953799999999999,33.3034,45.6323,0.220151,4.16293
2009-04,0.0117881,33.7848,44.0216,0.22439399999999998,4.17096
2009-05,0.0113002,31.1998,43.4644,0.20755600000000002,4.09446
2009-06,0.011087300000000001,31.5765,43.7556,0.20987999999999998,4.11635
